UID          PID    PPID  C STIME TTY          TIME CMD
root         498       2  0 20:59 ?        00:00:00 [kworker/5:2-rcu_gp]
root         527       2  0 20:59 ?        00:00:00 [kworker/u16:3-flush-254:0]
root         550       1  0 20:59 ?        00:00:00 dhclient -4 -v -i -pf /run/dhclient.eth0.pid -lf /var/lib/dhcp/dhclient.eth0.leases -I -df /var/lib/dhcp/dhclient6.eth0.leases eth0
root         562       1  0 20:59 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
systemd+     564       1  0 20:59 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         577       2  0 20:59 ?        00:00:00 [rpciod]
root         578       2  0 20:59 ?        00:00:00 [xprtiod]
root         605       2  0 20:59 ?        00:00:00 [psimon]
root         606       1  0 20:59 ?        00:00:00 /usr/sbin/cron -f
message+     613       1  0 20:59 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      617       1  0 20:59 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         619       1  0 20:59 ?        00:00:00 /usr/sbin/qemu-ga
root         620       1  0 20:59 ?        00:00:00 /lib/systemd/systemd-logind
root         658       2  0 20:59 ?        00:00:00 [psimon]
root         665       1  0 20:59 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         703       1  0 20:59 ?        00:00:00 /usr/sbin/ModemManager
root         742       1  0 20:59 ?        00:00:00 /usr/sbin/lightdm
root         763     742  0 20:59 tty7     00:00:09 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         764       1  0 20:59 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         765       2  0 20:59 ?        00:00:00 [kworker/3:3-cgroup_destroy]
root         766       1  0 20:59 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         822       2  0 20:59 ?        00:00:00 [psimon]
rtkit        860       1  0 20:59 ?        00:00:00 /usr/libexec/rtkit-daemon
root         883       2  0 20:59 ?        00:00:00 [scsi_eh_0]
root         884       2  0 20:59 ?        00:00:00 [scsi_tmf_0]
root         885       2  0 20:59 ?        00:00:00 [usb-storage]
root         886       2  0 20:59 ?        00:00:00 [uas]
root         939     742  0 20:59 ?        00:00:00 lightdm --session-child 15 26
matthew      946       1  0 20:59 ?        00:00:00 /lib/systemd/systemd --user
matthew      947     946  0 20:59 ?        00:00:00 (sd-pam)
root         961       2  0 20:59 ?        00:00:00 [psimon]
matthew      963     946  0 20:59 ?        00:00:00 /usr/bin/pipewire
matthew      964     946  0 20:59 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
matthew      965     946  0 20:59 ?        00:00:00 /usr/bin/wireplumber
matthew      966     946  0 20:59 ?        00:00:00 /usr/bin/pipewire-pulse
matthew      967     946  0 20:59 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
matthew      969     946  0 20:59 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
matthew      994     939  0 20:59 ?        00:00:00 xfce4-session
matthew     1040     994  0 20:59 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
matthew     1050     946  0 20:59 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
matthew     1057    1050  0 20:59 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
matthew     1068     946  0 20:59 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
matthew     1081     946  0 20:59 ?        00:00:00 /usr/bin/gpg-agent --supervised
matthew     1083     994  0 20:59 ?        00:00:02 xfwm4 --display :0.0 --sm-client-id 29946a854-9467-4bbb-9e1c-5076aadbd64b
matthew     1087     946  0 20:59 ?        00:00:00 /usr/libexec/gvfsd
matthew     1093     946  0 20:59 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
matthew     1126     994  0 20:59 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 229d82f52-b81e-48e8-8e9d-73ec6ed1c9f7
root        1130       1  0 20:59 ?        00:00:00 /usr/libexec/upowerd
matthew     1136     994  0 20:59 ?        00:00:00 xfce4-panel --display :0.0 --sm-client-id 2b81e10f9-2284-4d62-8d50-d81478f5c800
matthew     1141     994  0 20:59 ?        00:00:00 Thunar --sm-client-id 2e4ac8db8-ce2d-4234-9f46-ca80a669bc83 --daemon
matthew     1147     994  0 20:59 ?        00:00:00 xfdesktop --display :0.0 --sm-client-id 2cfe0f275-9ded-4942-acf1-55ba55058f34
matthew     1151    1136  0 20:59 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
matthew     1155    1136  0 20:59 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
matthew     1156    1136  0 20:59 ?        00:00:10 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
matthew     1157    1136  0 20:59 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
matthew     1158    1136  0 20:59 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
matthew     1159    1136  0 20:59 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
matthew     1160    1136  0 20:59 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
